productcategory,productsubcategory,saleterritory,State,Customer,OrderCount,OrderDate,Sales,Country,Territory
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,2024.994,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,2024.994,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,6074.982,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,2024.994,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,10124.97,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,4049.988,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,4079.988,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,2039.994,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,8159.976,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,4079.988,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,4079.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,4079.988,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,2039.994,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,2039.994,US,Woodinville
Clothing,Caps,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,5.1865,US,Seattle
Components,Mountain Frames,Northwest,Washington,Carolyn Farino,1,8/31/2011 0:00,1619.52,US,Puyallup
Components,Mountain Frames,Northwest,Washington,Carolyn Farino,1,8/31/2011 0:00,2890.3796,US,Puyallup
Clothing,Jerseys,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,28.8404,US,Casper
Clothing,Jerseys,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,28.8404,US,Seattle
Clothing,Jerseys,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,144.202,US,Seattle
Clothing,Jerseys,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,28.8404,US,Casper
Clothing,Jerseys,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,28.8404,US,Seattle
Clothing,Socks,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,34.2,US,Casper
Clothing,Socks,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,114.16625,US,Seattle
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,8099.976,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,4049.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,20249.94,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,4049.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,8099.976,US,Seattle
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,14174.958,US,Seattle
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,8159.976,US,Seattle
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,12239.964,US,Seattle
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,8159.976,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,4079.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,8159.976,US,Seattle
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,8/31/2011 0:00,419.4589,US,Everett
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,8/31/2011 0:00,838.9178,US,Everett
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,8/31/2011 0:00,419.4589,US,Everett
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,8/31/2011 0:00,419.4589,US,Everett
Accessories,Helmets,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,20.1865,US,Casper
Accessories,Helmets,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,60.5595,US,Seattle
Accessories,Helmets,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,40.373,US,Casper
Accessories,Helmets,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,80.746,US,Seattle
Accessories,Helmets,Northwest,Wyoming,François Ferrier,1,8/31/2011 0:00,40.373,US,Casper
Accessories,Helmets,Northwest,Washington,Richard Bready,1,8/31/2011 0:00,60.5595,US,Seattle
Clothing,Caps,Northwest,Washington,David Johnson,1,10/1/2011 0:00,15.5595,US,Longview
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,714.7043,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,1619.52,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,1445.1898,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,1637.4,US,Kent
Components,Road Frames,Northwest,Washington,David Johnson,1,10/1/2011 0:00,535.7424,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,10/1/2011 0:00,551.8146,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,10/1/2011 0:00,367.8764,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,10/1/2011 0:00,367.8764,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,10/1/2011 0:00,735.7528,US,Longview
Clothing,Jerseys,Northwest,Washington,David Johnson,1,10/1/2011 0:00,57.6808,US,Longview
Clothing,Jerseys,Northwest,Oregon,Cindy Dodd,1,10/1/2011 0:00,28.8404,US,Troutdale
Clothing,Jerseys,Northwest,Washington,David Johnson,1,10/1/2011 0:00,57.6808,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,10/1/2011 0:00,1427.592,US,Longview
Clothing,Socks,Northwest,Oregon,Cindy Dodd,1,10/1/2011 0:00,89.3475,US,Troutdale
Clothing,Socks,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,17.1,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,10124.97,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,10/1/2011 0:00,4049.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,6074.982,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,4079.988,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,10/1/2011 0:00,4079.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,10199.97,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,10/1/2011 0:00,6119.982,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,10/1/2011 0:00,2039.994,US,Troutdale
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,6440.886,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,4293.924,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,6440.886,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,8587.848,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,6440.886,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,874.794,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,4373.97,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,4373.97,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,874.794,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,2624.382,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,419.4589,US,Longview
Bikes,Road Bikes,Northwest,Oregon,Christopher Bright,1,10/1/2011 0:00,419.4589,US,Portland
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,419.4589,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,1677.8356,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,10/1/2011 0:00,419.4589,US,Longview
Accessories,Helmets,Northwest,Washington,David Johnson,1,10/1/2011 0:00,100.9325,US,Longview
Accessories,Helmets,Northwest,Washington,David Johnson,1,10/1/2011 0:00,60.5595,US,Longview
Accessories,Helmets,Northwest,Washington,David Johnson,1,10/1/2011 0:00,80.746,US,Longview
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,1429.4086,US,Tacoma
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,1445.1898,US,Tacoma
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,818.7,US,Tacoma
Clothing,Jerseys,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,115.3616,US,Kent
Clothing,Socks,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,28.5,US,Kent
Clothing,Socks,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,11.4,US,Tacoma
Clothing,Socks,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,64.7976,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Andrew Kobylinski,1,10/31/2011 0:00,4049.988,US,Kirkland
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,12149.964,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,16199.952,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,6074.982,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,2039.994,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,2039.994,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,6119.982,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,8159.976,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,10/31/2011 0:00,2039.994,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Henry Campen,1,10/31/2011 0:00,4079.988,US,Tacoma
Bikes,Mountain Bikes,Northwest,Washington,Jean Handley,1,10/31/2011 0:00,4079.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,10/31/2011 0:00,2039.994,US,Woodinville
Clothing,Caps,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,5.1865,US,Casper
Clothing,Caps,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,5.1865,US,Seattle
Components,Mountain Frames,Northwest,Washington,Carolyn Farino,1,12/1/2011 0:00,809.76,US,Puyallup
Components,Mountain Frames,Northwest,Washington,Carolyn Farino,1,12/1/2011 0:00,1445.1898,US,Puyallup
Components,Road Frames,Northwest,Washington,Peggy Justice,1,12/1/2011 0:00,551.8146,US,Port Orchard
Components,Road Frames,Northwest,Washington,Peggy Justice,1,12/1/2011 0:00,367.8764,US,Port Orchard
Clothing,Jerseys,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,115.3616,US,Casper
Clothing,Jerseys,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,28.8404,US,Seattle
Clothing,Socks,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,22.8,US,Casper
Clothing,Socks,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,22.8,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,8099.976,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,8099.976,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,4049.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,4049.988,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,8099.976,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,4049.988,US,Seattle
Bikes,Mountain Bikes,Northwest,Washington,Carolyn Farino,1,12/1/2011 0:00,2039.994,US,Puyallup
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,4079.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,4079.988,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,4079.988,US,Casper
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,8159.976,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,12/1/2011 0:00,12239.964,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,12/1/2011 0:00,16319.952,US,Casper
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,12/1/2011 0:00,874.794,US,Everett
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,12/1/2011 0:00,838.9178,US,Everett
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,12/1/2011 0:00,419.4589,US,Port Orchard
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,12/1/2011 0:00,419.4589,US,Everett
Accessories,Helmets,Northwest,Washington,Peggy Justice,1,12/1/2011 0:00,20.1865,US,Port Orchard
Accessories,Helmets,Northwest,Washington,Peggy Justice,1,12/1/2011 0:00,20.1865,US,Port Orchard
Clothing,Caps,Northwest,Washington,David Johnson,1,1/1/2012 0:00,25.9325,US,Longview
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,714.7043,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,714.7043,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,722.5949,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,722.5949,US,Kent
Clothing,Jerseys,Northwest,Washington,David Johnson,1,1/1/2012 0:00,173.0424,US,Longview
Clothing,Socks,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,17.1,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,4049.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,6074.982,US,Troutdale
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,12149.964,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,4079.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,6119.982,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,6119.982,US,Troutdale
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,4079.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,8159.976,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,1/1/2012 0:00,4079.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,1/1/2012 0:00,2039.994,US,Kent
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,12881.772,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,12881.772,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,2146.962,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,2146.962,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,8587.848,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,1749.588,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,3499.176,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,2624.382,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,874.794,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,874.794,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,1677.8356,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,419.4589,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,1/1/2012 0:00,419.4589,US,Longview
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,1/29/2012 0:00,1429.4086,US,Tacoma
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,1/29/2012 0:00,722.5949,US,Tacoma
